ID,text,image,label,class
411,positive,positive,positive,2
412,neutral,positive,positive,2
414,negative,neutral,negative,0
416,positive,positive,positive,2
417,positive,neutral,positive,2
418,neutral,negative,negative,0
419,neutral,positive,positive,2
420,neutral,positive,positive,2
422,negative,neutral,negative,0
423,neutral,positive,positive,2
424,neutral,neutral,neutral,1
425,negative,negative,negative,0
426,neutral,neutral,neutral,1
427,neutral,positive,positive,2
428,neutral,neutral,neutral,1
429,positive,neutral,positive,2
430,negative,negative,negative,0
431,neutral,positive,positive,2
432,neutral,positive,positive,2
433,neutral,neutral,neutral,1
434,neutral,positive,positive,2
435,neutral,positive,positive,2
436,neutral,neutral,neutral,1
437,neutral,neutral,neutral,1
438,positive,positive,positive,2
439,neutral,positive,positive,2
440,positive,positive,positive,2
441,positive,positive,positive,2
442,negative,negative,negative,0
443,neutral,positive,positive,2
444,positive,positive,positive,2
445,positive,positive,positive,2
447,positive,positive,positive,2
448,neutral,negative,negative,0
449,neutral,neutral,neutral,1
450,negative,negative,negative,0
451,negative,negative,negative,0
452,neutral,negative,negative,0
454,negative,negative,negative,0
455,neutral,positive,positive,2
456,positive,positive,positive,2
457,negative,negative,negative,0
459,negative,negative,negative,0
460,negative,negative,negative,0
461,negative,negative,negative,0
463,positive,positive,positive,2
465,positive,positive,positive,2
466,positive,positive,positive,2
468,positive,positive,positive,2
470,positive,positive,positive,2
471,positive,positive,positive,2
472,positive,positive,positive,2
473,negative,negative,negative,0
474,positive,positive,positive,2
475,positive,positive,positive,2
476,positive,positive,positive,2
477,positive,positive,positive,2
478,positive,positive,positive,2
479,negative,negative,negative,0
480,positive,positive,positive,2
481,neutral,positive,positive,2
482,positive,positive,positive,2
483,neutral,neutral,neutral,1
484,negative,negative,negative,0
485,negative,negative,negative,0
486,negative,negative,negative,0
488,positive,positive,positive,2
489,negative,negative,negative,0
490,positive,positive,positive,2
491,positive,positive,positive,2
492,positive,positive,positive,2
493,positive,positive,positive,2
494,positive,positive,positive,2
495,positive,positive,positive,2
496,neutral,positive,positive,2
497,neutral,positive,positive,2
498,positive,positive,positive,2
499,positive,positive,positive,2
500,positive,positive,positive,2
501,positive,positive,positive,2
502,neutral,neutral,neutral,1
503,neutral,positive,positive,2
504,neutral,positive,positive,2
505,neutral,neutral,neutral,1
506,neutral,positive,positive,2
507,neutral,positive,positive,2
508,positive,positive,positive,2
509,positive,positive,positive,2
510,neutral,positive,positive,2
511,neutral,neutral,neutral,1
512,neutral,positive,positive,2
513,neutral,positive,positive,2
514,neutral,positive,positive,2
515,neutral,positive,positive,2
516,neutral,neutral,neutral,1
517,positive,neutral,positive,2
519,positive,positive,positive,2
520,positive,positive,positive,2
521,positive,positive,positive,2
523,neutral,positive,positive,2
524,positive,positive,positive,2
525,neutral,positive,positive,2
526,neutral,positive,positive,2
528,neutral,neutral,neutral,1
529,negative,negative,negative,0
530,neutral,positive,positive,2
531,neutral,neutral,neutral,1
532,neutral,positive,positive,2
533,positive,positive,positive,2
534,positive,positive,positive,2
535,neutral,positive,positive,2
536,neutral,positive,positive,2
537,positive,positive,positive,2
539,neutral,negative,negative,0
540,positive,positive,positive,2
541,positive,positive,positive,2
542,negative,negative,negative,0
543,negative,negative,negative,0
544,neutral,positive,positive,2
545,positive,positive,positive,2
546,neutral,neutral,neutral,1
547,positive,positive,positive,2
548,neutral,positive,positive,2
550,negative,negative,negative,0
551,neutral,negative,negative,0
552,neutral,neutral,neutral,1
553,positive,positive,positive,2
554,positive,positive,positive,2
555,positive,positive,positive,2
556,positive,positive,positive,2
557,positive,neutral,positive,2
558,negative,negative,negative,0
559,negative,neutral,negative,0
560,neutral,positive,positive,2
561,neutral,positive,positive,2
562,positive,positive,positive,2
563,neutral,positive,positive,2
564,positive,positive,positive,2
565,positive,positive,positive,2
566,negative,negative,negative,0
568,negative,negative,negative,0
569,positive,positive,positive,2
570,positive,positive,positive,2
571,neutral,positive,positive,2
572,positive,positive,positive,2
573,positive,positive,positive,2
574,negative,negative,negative,0
575,negative,negative,negative,0
576,positive,positive,positive,2
577,neutral,positive,positive,2
578,neutral,positive,positive,2
579,neutral,positive,positive,2
580,neutral,neutral,neutral,1
581,neutral,neutral,neutral,1
582,neutral,neutral,neutral,1
583,neutral,positive,positive,2
584,positive,positive,positive,2
585,positive,positive,positive,2
586,neutral,neutral,neutral,1
587,neutral,neutral,neutral,1
588,neutral,neutral,neutral,1
589,negative,negative,negative,0
590,neutral,positive,positive,2
591,neutral,neutral,neutral,1
592,neutral,positive,positive,2
593,negative,negative,negative,0
595,positive,positive,positive,2
596,negative,negative,negative,0
597,negative,negative,negative,0
598,neutral,positive,positive,2
600,neutral,positive,positive,2
601,positive,positive,positive,2
602,negative,negative,negative,0
603,positive,positive,positive,2
604,neutral,positive,positive,2
605,neutral,positive,positive,2
606,negative,negative,negative,0
607,positive,positive,positive,2
608,negative,neutral,negative,0
609,neutral,neutral,neutral,1
610,positive,neutral,positive,2
611,positive,positive,positive,2
612,positive,positive,positive,2
613,positive,positive,positive,2
614,neutral,neutral,neutral,1
615,positive,positive,positive,2
616,positive,positive,positive,2
617,neutral,neutral,neutral,1
618,neutral,neutral,neutral,1
619,positive,positive,positive,2
620,neutral,positive,positive,2
621,neutral,neutral,neutral,1
622,positive,neutral,positive,2
623,neutral,neutral,neutral,1
624,positive,positive,positive,2
625,negative,negative,negative,0
627,neutral,neutral,neutral,1
628,negative,negative,negative,0
630,neutral,positive,positive,2
632,neutral,negative,negative,0
633,neutral,negative,negative,0
634,positive,positive,positive,2
635,positive,positive,positive,2
636,negative,negative,negative,0
637,neutral,neutral,neutral,1
638,neutral,positive,positive,2
641,negative,negative,negative,0
642,negative,negative,negative,0
643,positive,positive,positive,2
644,positive,positive,positive,2
645,positive,positive,positive,2
646,neutral,positive,positive,2
647,positive,positive,positive,2
648,neutral,neutral,neutral,1
649,positive,positive,positive,2
651,positive,positive,positive,2
652,positive,positive,positive,2
653,positive,positive,positive,2
654,positive,positive,positive,2
655,positive,positive,positive,2
656,negative,negative,negative,0
657,negative,negative,negative,0
658,positive,positive,positive,2
659,positive,positive,positive,2
660,positive,positive,positive,2
661,negative,negative,negative,0
662,positive,positive,positive,2
663,neutral,positive,positive,2
664,negative,negative,negative,0
665,positive,positive,positive,2
666,positive,positive,positive,2
667,negative,negative,negative,0
668,negative,negative,negative,0
669,neutral,neutral,neutral,1
671,negative,negative,negative,0
672,negative,negative,negative,0
673,neutral,positive,positive,2
675,positive,positive,positive,2
676,neutral,negative,negative,0
677,positive,neutral,positive,2
678,neutral,neutral,neutral,1
679,neutral,positive,positive,2
680,negative,negative,negative,0
681,neutral,positive,positive,2
682,positive,positive,positive,2
683,positive,positive,positive,2
684,neutral,positive,positive,2
685,neutral,negative,negative,0
686,positive,positive,positive,2
687,neutral,negative,negative,0
688,positive,positive,positive,2
689,negative,negative,negative,0
690,negative,negative,negative,0
691,positive,neutral,positive,2
692,neutral,positive,positive,2
693,neutral,neutral,neutral,1
694,neutral,positive,positive,2
695,positive,positive,positive,2
696,neutral,positive,positive,2
697,negative,neutral,negative,0
698,positive,positive,positive,2
699,neutral,negative,negative,0
700,neutral,negative,negative,0
701,negative,negative,negative,0
702,neutral,positive,positive,2
703,negative,neutral,negative,0
704,positive,positive,positive,2
705,positive,positive,positive,2
706,positive,positive,positive,2
707,positive,positive,positive,2
708,neutral,neutral,neutral,1
709,positive,positive,positive,2
710,positive,positive,positive,2
711,positive,positive,positive,2
712,positive,positive,positive,2
713,positive,positive,positive,2
714,positive,positive,positive,2
715,neutral,positive,positive,2
716,positive,positive,positive,2
717,positive,positive,positive,2
718,neutral,neutral,neutral,1
719,negative,negative,negative,0
720,neutral,neutral,neutral,1
721,neutral,positive,positive,2
722,positive,positive,positive,2
723,negative,neutral,negative,0
724,neutral,positive,positive,2
725,positive,positive,positive,2
726,positive,neutral,positive,2
727,negative,negative,negative,0
728,positive,positive,positive,2
729,positive,neutral,positive,2
730,neutral,negative,negative,0
731,neutral,negative,negative,0
732,neutral,negative,negative,0
733,neutral,positive,positive,2
734,neutral,positive,positive,2
735,neutral,positive,positive,2
736,positive,positive,positive,2
737,neutral,positive,positive,2
739,positive,positive,positive,2
740,positive,positive,positive,2
741,positive,positive,positive,2
742,positive,positive,positive,2
743,positive,positive,positive,2
745,neutral,positive,positive,2
746,positive,neutral,positive,2
747,positive,positive,positive,2
748,positive,positive,positive,2
749,negative,negative,negative,0
750,negative,negative,negative,0
751,neutral,positive,positive,2
752,neutral,neutral,neutral,1
753,neutral,neutral,neutral,1
754,neutral,positive,positive,2
755,neutral,neutral,neutral,1
756,neutral,positive,positive,2
757,positive,positive,positive,2
758,neutral,positive,positive,2
759,neutral,positive,positive,2
760,neutral,neutral,neutral,1
761,positive,neutral,positive,2
762,positive,positive,positive,2
763,positive,positive,positive,2
764,neutral,positive,positive,2
765,positive,positive,positive,2
766,positive,positive,positive,2
768,negative,negative,negative,0
769,positive,positive,positive,2
770,positive,positive,positive,2
771,neutral,positive,positive,2
773,positive,positive,positive,2
774,positive,positive,positive,2
777,positive,positive,positive,2
778,neutral,negative,negative,0
779,neutral,neutral,neutral,1
780,neutral,neutral,neutral,1
781,positive,positive,positive,2
782,negative,negative,negative,0
783,negative,negative,negative,0
784,negative,neutral,negative,0
785,neutral,positive,positive,2
786,negative,negative,negative,0
787,positive,neutral,positive,2
788,neutral,neutral,neutral,1
789,positive,positive,positive,2
790,neutral,positive,positive,2
791,positive,positive,positive,2
792,neutral,positive,positive,2
793,positive,neutral,positive,2
794,neutral,neutral,neutral,1
795,neutral,neutral,neutral,1
796,neutral,positive,positive,2
797,neutral,positive,positive,2
798,neutral,positive,positive,2
799,positive,positive,positive,2
800,positive,positive,positive,2
801,positive,positive,positive,2
802,neutral,negative,negative,0
803,neutral,positive,positive,2
804,positive,positive,positive,2
805,neutral,negative,negative,0
806,positive,positive,positive,2
807,positive,neutral,positive,2
808,negative,negative,negative,0
809,positive,neutral,positive,2
810,positive,neutral,positive,2
811,positive,positive,positive,2
812,neutral,positive,positive,2
813,positive,positive,positive,2
814,positive,positive,positive,2
815,positive,positive,positive,2
816,positive,positive,positive,2
817,positive,positive,positive,2
818,negative,negative,negative,0
819,negative,negative,negative,0
820,positive,positive,positive,2
821,positive,positive,positive,2
822,positive,positive,positive,2
823,neutral,positive,positive,2
824,neutral,positive,positive,2
825,neutral,neutral,neutral,1
826,negative,negative,negative,0
827,positive,positive,positive,2
828,neutral,neutral,neutral,1
829,neutral,positive,positive,2
830,negative,negative,negative,0
831,positive,positive,positive,2
832,negative,negative,negative,0
833,positive,neutral,positive,2
834,positive,positive,positive,2
835,neutral,positive,positive,2
836,negative,negative,negative,0
837,negative,negative,negative,0
838,negative,negative,negative,0
839,positive,neutral,positive,2
840,positive,positive,positive,2
842,positive,neutral,positive,2
843,positive,positive,positive,2
844,positive,positive,positive,2
845,positive,positive,positive,2
846,neutral,positive,positive,2
847,neutral,neutral,neutral,1
848,neutral,neutral,neutral,1
849,neutral,positive,positive,2
850,neutral,positive,positive,2
851,positive,positive,positive,2
852,positive,positive,positive,2
853,neutral,positive,positive,2
854,negative,neutral,negative,0
855,neutral,positive,positive,2
856,neutral,negative,negative,0
857,neutral,neutral,neutral,1
858,neutral,positive,positive,2
859,neutral,positive,positive,2
860,positive,positive,positive,2
861,negative,negative,negative,0
862,neutral,positive,positive,2
863,neutral,neutral,neutral,1
864,positive,positive,positive,2
865,neutral,neutral,neutral,1
866,negative,negative,negative,0
867,neutral,negative,negative,0
868,neutral,neutral,neutral,1
869,negative,negative,negative,0
870,neutral,neutral,neutral,1
871,neutral,negative,negative,0
872,neutral,positive,positive,2
874,negative,negative,negative,0
875,negative,negative,negative,0
876,positive,positive,positive,2
877,negative,negative,negative,0
878,positive,positive,positive,2
879,neutral,positive,positive,2
880,negative,neutral,negative,0
881,neutral,negative,negative,0
882,neutral,negative,negative,0
883,negative,negative,negative,0
884,negative,negative,negative,0
885,neutral,positive,positive,2
886,neutral,negative,negative,0
887,positive,neutral,positive,2
888,positive,positive,positive,2
889,neutral,positive,positive,2
890,positive,positive,positive,2
891,positive,positive,positive,2
892,positive,positive,positive,2
893,positive,positive,positive,2
894,positive,positive,positive,2
895,positive,positive,positive,2
896,positive,positive,positive,2
897,positive,positive,positive,2
898,positive,neutral,positive,2
899,negative,negative,negative,0
900,positive,positive,positive,2
901,negative,negative,negative,0
902,positive,positive,positive,2
903,positive,positive,positive,2
904,positive,positive,positive,2
905,neutral,neutral,neutral,1
906,negative,negative,negative,0
907,positive,positive,positive,2
908,negative,negative,negative,0
909,negative,negative,negative,0
910,neutral,negative,negative,0
911,neutral,neutral,neutral,1
912,positive,positive,positive,2
913,positive,neutral,positive,2
914,positive,positive,positive,2
915,positive,positive,positive,2
916,positive,neutral,positive,2
917,neutral,positive,positive,2
918,neutral,positive,positive,2
919,negative,negative,negative,0
920,negative,negative,negative,0
921,negative,negative,negative,0
922,negative,negative,negative,0
923,negative,negative,negative,0
924,positive,positive,positive,2
925,positive,neutral,positive,2
926,positive,positive,positive,2
927,neutral,neutral,neutral,1
928,negative,negative,negative,0
929,negative,negative,negative,0
930,negative,neutral,negative,0
931,neutral,negative,negative,0
932,neutral,positive,positive,2
933,neutral,positive,positive,2
934,negative,negative,negative,0
935,negative,negative,negative,0
936,neutral,neutral,neutral,1
937,negative,negative,negative,0
938,neutral,neutral,neutral,1
939,positive,positive,positive,2
940,positive,positive,positive,2
941,positive,positive,positive,2
942,neutral,positive,positive,2
943,negative,negative,negative,0
944,negative,negative,negative,0
945,positive,neutral,positive,2
946,neutral,positive,positive,2
947,negative,negative,negative,0
948,neutral,positive,positive,2
949,neutral,positive,positive,2
950,positive,positive,positive,2
951,negative,negative,negative,0
953,neutral,positive,positive,2
954,negative,neutral,negative,0
957,negative,negative,negative,0
958,positive,neutral,positive,2
959,neutral,negative,negative,0
960,negative,negative,negative,0
962,neutral,neutral,neutral,1
963,neutral,positive,positive,2
964,positive,neutral,positive,2
965,negative,negative,negative,0
966,positive,positive,positive,2
967,negative,negative,negative,0
968,positive,positive,positive,2
969,positive,neutral,positive,2
970,neutral,positive,positive,2
971,neutral,positive,positive,2
972,negative,negative,negative,0
973,positive,positive,positive,2
974,positive,positive,positive,2
975,positive,positive,positive,2
976,positive,positive,positive,2
977,positive,positive,positive,2
978,positive,positive,positive,2
979,positive,positive,positive,2
980,positive,positive,positive,2
981,neutral,positive,positive,2
982,positive,positive,positive,2
983,positive,positive,positive,2
984,neutral,neutral,neutral,1
985,neutral,neutral,neutral,1
986,positive,positive,positive,2
987,positive,positive,positive,2
988,positive,positive,positive,2
989,positive,positive,positive,2
990,neutral,positive,positive,2
991,positive,neutral,positive,2
992,negative,negative,negative,0
993,neutral,neutral,neutral,1
994,neutral,neutral,neutral,1
995,positive,neutral,positive,2
996,positive,positive,positive,2
997,neutral,positive,positive,2
998,neutral,positive,positive,2
999,neutral,neutral,neutral,1
1000,positive,positive,positive,2
1001,positive,positive,positive,2
1002,positive,positive,positive,2
1004,positive,positive,positive,2
1005,negative,negative,negative,0
1006,neutral,positive,positive,2
1007,neutral,positive,positive,2
1008,positive,positive,positive,2
1009,positive,positive,positive,2
1010,negative,neutral,negative,0
1011,positive,positive,positive,2
1012,neutral,neutral,neutral,1
1013,neutral,positive,positive,2
1014,neutral,negative,negative,0
1015,neutral,positive,positive,2
1016,neutral,neutral,neutral,1
1017,neutral,positive,positive,2
1018,positive,positive,positive,2
1019,neutral,positive,positive,2
1020,neutral,positive,positive,2
1021,positive,positive,positive,2
1022,negative,negative,negative,0
1023,neutral,positive,positive,2
1024,positive,neutral,positive,2
1025,neutral,positive,positive,2
1026,neutral,neutral,neutral,1
1027,neutral,negative,negative,0
1028,neutral,neutral,neutral,1
1029,neutral,positive,positive,2
1030,positive,positive,positive,2
1031,positive,positive,positive,2
1032,positive,positive,positive,2
1033,neutral,positive,positive,2
1034,neutral,positive,positive,2
1035,positive,positive,positive,2
1036,positive,positive,positive,2
1037,positive,positive,positive,2
1038,positive,neutral,positive,2
1039,neutral,positive,positive,2
1040,positive,positive,positive,2
1041,neutral,positive,positive,2
1042,neutral,neutral,neutral,1
1043,positive,positive,positive,2
1044,neutral,neutral,neutral,1
1045,neutral,neutral,neutral,1
1046,negative,negative,negative,0
1047,neutral,positive,positive,2
1048,neutral,positive,positive,2
1049,positive,positive,positive,2
1051,neutral,neutral,neutral,1
1052,neutral,negative,negative,0
1053,positive,neutral,positive,2
1054,neutral,positive,positive,2
1055,positive,positive,positive,2
1056,neutral,negative,negative,0
1057,positive,positive,positive,2
1058,neutral,neutral,neutral,1
1059,negative,negative,negative,0
1060,negative,negative,negative,0
1061,neutral,negative,negative,0
1062,positive,positive,positive,2
1063,positive,positive,positive,2
1064,positive,positive,positive,2
1065,positive,positive,positive,2
1066,positive,neutral,positive,2
1067,positive,positive,positive,2
1068,neutral,neutral,neutral,1
1069,negative,negative,negative,0
1070,neutral,positive,positive,2
1071,neutral,neutral,neutral,1
1072,neutral,positive,positive,2
1073,neutral,neutral,neutral,1
1074,positive,positive,positive,2
1075,positive,positive,positive,2
1076,neutral,positive,positive,2
1077,neutral,positive,positive,2
1078,negative,negative,negative,0
1079,neutral,positive,positive,2
1080,neutral,positive,positive,2
1081,positive,positive,positive,2
1082,neutral,positive,positive,2
1083,neutral,positive,positive,2
1084,positive,positive,positive,2
